set	tool	f1_macro	f1_weighted	f1_high	f1_medium	f1_low	n_true_high	n_true_medium	n_true_low
C	MAGICC	0.8922	0.9719	0.8406	0.8475	0.9886	34	83	883
C	CheckM2	0.2816	0.3527	0.3265	0.1453	0.3732	34	83	883
C	CoCoPyE	0.4205	0.8166	0.0000	0.3716	0.8898	34	83	883
C	DeepCheck	0.2667	0.3262	0.3014	0.1555	0.3432	34	83	883
D	MAGICC	0.8891	0.9782	0.7826	0.8942	0.9904	11	103	886
D	CheckM2	0.3726	0.5865	0.2273	0.2619	0.6287	11	103	886
D	CoCoPyE	0.7096	0.9399	0.4286	0.7296	0.9707	11	103	886
D	DeepCheck	0.2053	0.3150	0.0845	0.2003	0.3312	11	103	886
